,sentence,sentiment,polarity
15216,"Flesh Feast starts at Miami Airport, ace reporter Dan Carter (Harry Kerwin, he is also credited as production designer) phones his mate Ed Casey (Phil Philbin) to let him know that he has just returned from South America where he has been investigating Carl Schuman (Doug Foster) & that he was onto a big story but while still talking on the phone he is stabbed in the back & killed. Schuman meets Dr. Elaine Frederick (Veronica Lake, she also executive produced) who has recently been released from a mental institution, together they discuss their grisly plans. The news of Cater's death has reached Casey & he decides to take the story up himself & do some investigating, well actually he gets his secretary Viginia Day (Marth Mischon) to do most of the investigating & just report back to him, lazy bugger. Virginia informs Casey that they have someone on the inside named Kristine (Heather Hughes) since Dr. Frederick rents her spare rooms out to nurses, Kristine reports back to Casey about Schuman & Dr. Frederick's grotesque youth restoration experiments involving human flesh & specially cultivated maggots...<br /><br />Co written, co-produced & directed by Brad F. Grinter Flesh Feast is a pretty poor film on all accounts. First lets start with the script by Grinter & Thomas Casey who was also responsible for the cinematography (you get the feeling that most of the cast & crew had more than one job), basically it's terrible. The character's are one dimensional idiots & have no personality, I didn't like anyone in this film. For what it's worth I quite like some of the ideas here, the flesh-eating maggots, the basement laboratory, stealing bodies from a hospital & that unforgettable 'twist' ending that's almost worth sitting through the rest of the film for on it's own. Unfortunately the dialogue is so badly written, stiff & unnatural sounding it's untrue, I mean there is one scene in which a nurse says that they ""won't let us out of the house"" which is fine except for the fact that she is speaking OUTSIDE in the garden to someone. No thought has been put into the story as no explanation is ever given for why flesh-eating maggots are able to restore youth, in fact at one point near the end when questioned about this very thing Dr. Frederick claims there is no time to explain at that point which to me sounds like the people who wrote this didn't have a clue either! Even at an extremely short 68 minutes long Flesh Feast is very slow & dull, the poor editing doesn't help with scenes & shots lasting for far too long, for example there is a scene in which an Ambulance pulls up outside a Hospital, drives up to the doors, the guy gets out, he walks to the back doors & opens them etc. etc. did we really need to see every single detail? There is also another sequence in which Dr. Frederick enters room & puts some gloves on, then she takes them off walks into the opposite room & puts another pair on! I personally think that Grinter probably didn't shoot enough material so he stretches every scene out as much as he can to make the run time up. I do like that bizarre ending though, I really do. Technically Flesh feast is complete crap, I'm not sure what the budget was on this but it must have been small, very small. Just about the entire film takes place in one house, Dr. Frederick's laboratory consists of a table, some plastic beakers & test tubes, some ancient looking electronic medical equipment & a strange screen with funny colours on it (don't ask). The cinematography is poor, the music sucks & the entire film looks dubbed, badly dubbed too. The exploitation elements are also disappointing, there are a few maggot shots but they don't actually do anything other than wriggle a bit, there is a brief scene where a dead body has it's leg sawn off & a OK looking dismembered corpse & limbs hanging on hooks. The acting is awful from everyone concerned, & I mean really bad which makes the rubbishy dialogue even worse. Do yourself a favour & avoid Flesh Feast, yes there are one or two unintentionally funny moments & that ending is, well unique to say the least but for the most part this is real amateur film-making that quickly becomes painful to watch. I doubt most people will make it through this is one sitting, I can tolerate just about anything but even I considered switching it off. Definitely one to avoid, you'll be pleased you did & if you really have to see it don't say you weren't warned!",2,0
2711,"I first saw this movie with my fiancée many years after it came out. I thought I would hate it, but to my surprise it is so cheesy that it's great. We've spent many hours reenacting parts of the movie (""Sylvia?!Yes Mickey?"" or ""I'm sorry you had to see that Baby. Sometimes in this world we see things that we don't want to.""). My financee cracks up every time I imitate Neil. Also the music is classic and fun to sing along with, especially on road trips. Of course I don't admit any of this to my male friends. It's like a guilty pleasure. I seriously watch Dirty Dancing once a month or more and it is just as good every time. Jennifer Grey is also so cute in this movie. Its too bad her career never really took off.",10,1
11879,"If Daphne Du Maurier had set REBECCA in 1950s San Francisco, it might very well resemble this uptight, highly unusual noir from Robert Wise. Valentina Cortese plays a concentration camp survivor who steals the identity of a dead woman and insinuates herself into the life of Richard Basehart (who happens also to be the guardian of the dead woman's son)...it's absurd and over-the-top but also topflight entertainment. Cortese is terrific, slowly falling apart as she realizes the mistake she's made. Basehart is fine if a bit bland...although the lighting toward the end makes him appear very menacing. Fay Baker makes a very good Mrs. Danvers-like caretaker. Wise is a fine director and he keeps things moving at a pretty brisk clip. He also stages a now classic out of control car crash with Cortese (or at least a stunt Cortese) at the wheel.",4,0
10585,"I just saw Mar Ardentro and felt that I had to comment on this film. Euthanasia is a difficult topic in any field and unfortunately is can sometimes distort the true value of a movie. Many people have raved about the excellent cast and it's beautiful imagery/camera-work. Certainly Javier Bardem is an actor that brings something extra to each film he makes. To say that he encompasses the real Sampredo is a little silly since I don't think that any of the reviewers have known Sampredo personally. To lie still and use a certain charm is a acting skill that although well performed doesn't constitute a 'perfect' performance. Bardem just does what he does well...and that's it. The camera-work is beautiful and evokes feelings and perspectives that the movie itself lacks to deliver. Sampredo here is shown as a man that is bend on dying so much that he leaves his loving family behind and marries a woman that he only seeks out when the other will not help him in his quest for a dignified death. Now I'm not here to say anything about the right for or against euthanasia. The problem is that when commenting movies like this you can hardly escape it. The movie's subject is so strong that you're almost compelled to discuss the movie in that strong subject matter. I find it a weakness for the movie -unintentionally- portrays Sampredo as a unsymphatetic character. Someone who is much smarter then his family as portrayed in the simple cousin that doesn't ""get"" the double layered poem directed towards him. Someone who will leave a loving and caring family because HE thinks his life is undignified. A scene that is juxtaposed to the female lawyer who according to the movie makes the ""wrong"" choice ending up in a far state of dementia thus indicating that Sampredo's choice was the right one. The woman that constantly seeks him out is almost disregarded for the beautiful lawyer but suddenly is married by Sampredo when she agrees to help him die. These choices make Sampredo into a calculated figure no matter how charming Bardem portrays him. Argumentive I would say it doesn't convince fully and I kinda think that Amenabar didn't intend on adding this unbalanced element in his film. For a young director it's still an impressive film and it certainly has it's strong moments (the discussion between the priest and Sampredo for instance). The camera-work IS impressive and the film is well acted. But 10 out of 10...no the movie doesn't reach that excellence.",7,1
21563,"This Don Siegel/Clint Eastwood strange and hypnotic drama was left by the wayside in 1971 and what a pity. A fascinating character study with some great women for Squint to deal with. Geraldine Page was one of our supreme actresses and she's perfectly cast. Young Jo Ann Harris is a flirty minx, and Elizabeth Hartman (who died too young) is undeniably repressed.<br /><br />A 7 out of 10. Best performance = C. Eastwood. Released the same year as DIRTY HARRY, this did no business, beside getting some good reviews. Seek this out unless you're only into ""Explosion"" films. Very subtle and frightening, this piece will stick with you.",7,1
2388,"This is movie is really bad. I like to flip on the TV while napping and this movie looked like it would be something good to sleep through, and boy was I wrong. My body literally woke me up from sleeping and said ""Hey... this movie is awful... you gotta watch it"". I love bad movies with bad actors and stupid plots. Something about unintentional comedy gets me going. This movie is impressively crappy. I really don't know how to properly express it aside from recommending you watch it just to see how bad it is. I mean, seriously, you should watch it with people. I was making the best jokes outloud during this movie and no one was there to hear them.<br /><br />Worse than Swimfan. It's that bad.",1,0
18802,"I can't say I was surprised at this atrocity when I watched it a couple months or weeks ago (can't remember). I saw it as a two part episode of Zoey 101, because that's how they showed it here in Canada.<br /><br />I was incredibly annoyed at the Makeover a Nerd thing, it's just an example of how unaccepting, unappreciating, superficial, negative, biased, and stereotypical the people in the entertainment business is and frankly I'm extremely peeved. It wasn't at all funny. A nerd is a stereotype and it makes people very offended.<br /><br />Secondly, the people in Zoey 101 don't have real problems. Logan has a big house, he has a famous dad, he has everything and Zoey is rich too. They never have to deal with the things that today's tweens and teens have to do deal with such as peer pressure, and stereotype problems. Also, the actors are horrific. Jamie Lynn Spears doesn't deserve to be in a television show as successful as Zoey 101 (what is wrong with the world?), she doesn't have any talent as an actor. In fact, she's worse than Britney! The Chase and Zoey thing was incredibly predictable, I mean how could the show go on with Zoey and Chase dating? What other problems could they possibly have? Except for the fact that Chase doesn't get the girl he wants, everything is perfect! The absolute worse 48 minutes of my television watching life. Ever. 0/10 (and that's being generous)",1,0
714,"The Grudge 2...Let's see. Don't get me wrong, I'm not a Japanese Horror Film or Horror or Grudge basher. I loved the first one and the Original Ju-On. I feel that much more justice could have been done for this one. Aubrey only existed to fill in what needed to be 'discovered' in the ending, (which if you've already seen Ju-On before this, you already know the whole movie) all it was really was a complete remake of Ju-On, just more closely followed than The Grudge. Though everyone may have thought that it's coming to America was a bit interesting, it was expected as the house burning in the end of The Grudge left the 2nd hungering for a new plot. <br /><br />Save your $6.50 and wait for this to come out on DVD, rent it, watch it, then decide if you want to buy it. This movie is good for a fall asleep at 2 in the morning film. But overall, I'd say a 4 out of 10. Sorry Grudge fans, it's just...They just failed at this one.",4,0
12022,"GOLD RAIDERS (1951)<br /><br />A dull western/comedy feature with the Three Stooges (including Shemp Howard at this point, who I've always enjoyed as the ""third Stooge"") doing their usual schtick, and directed by the normally dependable Edward Bernds, who also did some of their funniest classic shorts -- so one has to wonder, just what went wrong this time? The most probable answer is that what worked pretty good as a 15-minute two-reeler comes up as too much for a 55-minute feature film. Unlike so many of their classic short subjects, GOLD RAIDERS is not worth revisiting.<br /><br />*1/2 of ****",4,0
20548,"On my continuing quest to find the worst movie of all time, my friends and I stumbled upon this little gem. It is hilarious through and through, especially if you don't know (like we didn't) that it's a semi-sequel to another horror series.<br /><br />I won't bother going into the plot except to mention that everyone complains about the horrible snowstorm that was coming (it was equivalent to the characters just screaming ""FORESHADOWING!"" at the camera and waving their arms), and, in some odd twist of fate, the snow storm ever occurs. Budget problems, I guess.<br /><br />Add that to a magical front door that is opened or closed depending on what scare effect the director wants to create and the electricity being cut off until the gym teacher decides to take a shower with lots of soap. I'll admit it; I had trouble breathing at points.<br /><br />The only actual decent part of this movie, as it turns out, was from the original Slumber Party Massacre movie. It's so much funnier now that I know that.<br /><br />*SPOILER* The end, where it is revealed that the slasher did it because her drunk friends stumbled in on her and a female friend making out and then the friend driving into a train or something is probably the funniest psycho killer origin ever, heightened by the fabulous use of blurring and stock footage. I'm glad all of the slasher's friends forgot the incident completely until a flashback was necessary. <br /><br />Run, don't walk, to pick this up and see the hilarity. Of course, the continuity editor should be given an award for all of this, if only they weren't stuck in that horrible snow storm...",2,0
11668,"A killer (John Karlen) with a penchant for really bad disguises (afro wig on a white dude?) cruises around in his van looking for victims. Detective DeCarlo (James Luisi) is on the case and finds the killer rather easily by just hanging out by the local pool and looking for anyone looking weird (again, the afro wig comes into play). Tracking the killer to his home, DeCarlo decides to set up a risky sting involving a female police psychologist.<br /><br />Inspired by the crimes of Ted Bundy before he was caught, KILLER'S DELIGHT is a pretty predictable and cheap serial killer flick. Director Jeremy Hoenack has no idea how to pace a film or even make it suspenseful. He does know how to show lots of close ups of the killer wringing his hands though! The only thing this really has going for it is the captured 70s atmosphere (look out for the bathroom wallpaper). Well, that and a downbeat ending. The Media Blasters/Shriek Show DVD has lots of nice stuff though including an audio commentary by Hoenack and Karlen, plus video interviews, trailers and an alternate opening.",3,0
22140,"Several stowaways get on a Russian ship bound for France. They were going to get off there and make new lives for themselves. After being discovered by the First Mate and his henchmen, they were held captive. Then things got very bad for them. Good show based on a true story.",7,1
13551,I watched the first show of each series just to see and what a waste of time. The girl from Emmerdale she was fat so yeah she should be in fat friend but no one every lost weigh.<br /><br />Like Itv made a big mistake with this.<br /><br />Bad Girls is 100times better.<br /><br />I feel that the whole show was just about large people trying to loose weight but never did then they tried to have love storyline oh my god what a a waste of time and also air time. This show has not been repeated on ITV2/3/4 yeah thats how good it is.<br /><br />I would say do not by th box sets just a waste of money.<br /><br />BEWARE,1,0
20157,"Eisenstein's first sound film retells the battle of the ice of 1242, when the Russians under Alexander Nevsky defeated the Livonian knights, eager to bring Russia under Roman Catholicism. Made in 1938, Nevsky can be seen as a piece of propaganda: the Germanic knights, with their sinister (and somewhat goofy) helmets are obvious stand-ins for the Nazis. The butchery by the knights when they enter a Russian town seems a prophetic warning of the massacres of World War II. The film ends with a warning: those who came to Russia with the sword will die by the sword. Made in delicate black and white (somewhat reminiscent of a daguerreotype), it also marked Eisenstein's return to official favor. By the late 1920s, Stalin wanted Soviet filmmakers to stop experimentation and made movies that would be more populist and palatable to the Russian public. That stopped Eisenstein's career in Russia for a decade, and in Nevsky he came back with his more accessible film. Nevsky's strong point is in its second half, which features the battle itself, and it is justly seen as a milestone in movie history: never before (and probably never after) a battle would be so vivid in the screen. Another strong point is Prokofiev's beautiful, haunting soundtrack (using a composer to score a movie was completely unusual at the time). One of its weaker points: the comic relief (in the form of two simpleton Russian warriors trying to woo a beautiful Russian peasant) is really jarring.",7,1
3650,"Scarier than any horror movie ever made because you're in controlled of this blood fest which make it more scarier than watching other people doing it on the big screen or on your television screen. This game got two CDs which make the game much more entertaining.<br /><br />Each cd contains a different character with a complete different story line which make the game much more fun. I recommend you to buy this game and the first game too (isn't as good as this game, still fun though)<br /><br />****<br /><br />",1,0
12579,"What annoys me with so called 'science' programs such as these is that it is presented as if it were a FACT that dinosaurs live 'millions' of years ago. Firstly, nobody can even conduct a scientific experiment to prove that the earth is millions/billions of years old. It's a shallow theory based on inaccurate radiometric dating methods with huge assumptions thrown into the evolutionary pot.<br /><br />Secondly, nobody can prove that evolution ever happened. All Darwin's missing links are still MISSING ! If you look at all the fossils anywhere in or on the earth, they are complete animals of a certain kind eg: a dog or a cat. Nobody has ever found the skeleton of a dog turning into a cat or in the example presented in this series, a dinosaur turning into a bird.<br /><br />This is utter hogwash. There's more proof that Santa Claus exists than any animal changing into another kind of animal.<br /><br />All the ideas presented in this series is an attempt to eliminate the idea that the universe and the everything in it, was created.<br /><br />This series is NOT SCIENCE. It is a religious world view that hides under the banner of science. Science is something we can observe and repeat. What you are seeing here is SCIENCE FICTION. <br /><br />If you want to watch a science fiction program that has the decency to admit that it's a science fiction program, then rather watch Star Trek or Star Wars.",1,0
11144,"I don't need to say much about how good this documentary is--it's truly an amazing piece of true narrative. The story is simple enough: a white senior citizen tourist is murdered by a young black man in Florida, and the boy who is arrested is mistreated and put on trial with only the public defender and his family on his side. It's very enthralling, and the public defender is a joy to watch in all his human ways--you can't help but pull for the triumph of justice, and the ending fulfills more than could be expected of a true story.<br /><br />It's a shame more people haven't seen this documentary, but hopefully you will find a way to watch it. For those interested in race relations in the United States, and the actual workings of law enforcement and the legal process, it's well worth your time and effort to find this documentary. I give it a 10.",10,1
10622,"A notorious big budget flop when released. This Robert Altman inspired comedy has some terrific moments and an occasionally inspired cast. Although it goes on to long an loses its focus completely, there are enough funny moments that will keep a curious viewer watching until the end. If you are a fan of character actors and actresses, this will be a treat for you; you will recognize so many terrific little known performers throughout this movie (you may not know their names, but you know their faces), heck even the kid from A Christmas Story turns up in a small part. Rent if from Netflix, if you read this, I bet you will enjoy it.",8,1
20932,"Heaven, Mary and all the Saints above! A young man has got super sperm, it's miracle bejesus, call the Pope, all you ladies out their desperate to get preggers, line up out side his door and drop your marks and sparks finest! Risible retro ealing comedy type comedy, trying to bring you a bit of the auld Irish charm. Has an effect like placing two fingers down your own throat, voamitus maximus! One out of ten!",1,0
9603,"When my six-year-old fell asleep at the theater during this movie, that was all the confirmation I needed that this film is a stinker. It was boring. The scary parts were boring. The maudlin parts were boring. Even the funny parts -- with two minor exceptions -- were boring. And predictable. And did I mention predictable? Examples: 1) The gruff but loving Dad indulging his brat of a kid. 2) The gruff but loving Dad buying the farm (while singing a song?!). 3) The brat of a kid deciding to cut and run, but, thanks to his friends, sticking things out because they need him. 4) The brat of a kid winning against incredible odds. 5) And a sassy character voiced by an African-American actress. Gotta credit these filmmakers for that bit of originality and for perpetuating that stereotype. I did mention two funny bits. In both cases, contributed by minor characters. The mouse bouncing on the farmer's pulse was funny. The farm dog falling victim to his doggy weaknesses while vying for leadership was funny. But the rest? Painful. Someone tried to make a Hipness-Thru-Committee movie and make it even hipper by making it a computer-animated film, and this was the result. And why make the coyotes Batman-villain dumb by monologuing with their victims, rather than just eating them? Oh yeah. No blood needed in this film for kids, already concentrating on mock alcohol consumption, destructive behavior and potty humor. And the fuzzy thing-in-a-box? Just what exactly was it? A porcupine? Tasmanian Devil? What, besides a really stupid plot device to help Otis the Cow win the Mother of All Battles? Barnyard is a bomb. And I didn't even need to mention the udders.",1,0
21778,"Greetings from Lithuania.<br /><br />This is the first question that comes to head after watching this ""movie"". <br /><br />You know, I saw a lot of bad movies in my life, but after watching this one, i only had two questions: 1) Is this was just a parody (spoof) <br /><br />2) How could people create such a thing!? <br /><br />If You never saw this ""film"", than you REALLY don't know what is a REALLY bad ""film"". I mean BAD. The script - Are you kidding my? Acting is so horrible that i thing ""the actors"" where just having fun in this movie. I know, this is ""B"" movie, but come on?? Is this have to be a reason to be such a garbage?? <br /><br />Oh! And what an ending!!! A must miss ending! Just when you thing that this is the worst thing you have ever saw, wait until the ending - because THAT kind of ending You have NEVER saw before (and I hope You will never see). <br /><br />Awoid this ""movie"" at any cost, and don't say i didn't warn you...",1,0
22912,"Spheeris debut must be one of the best music documentaries of all time. And as far as I know it's also the only one that focuses on the L.A. Punk Explosion of the early eighties. It's all there: not just great, great bands like Black Flag, Fear, X, the Germs, whose names may not mean much to you today, but whose influence on today's alternative rock music can not be over-estimated, but also the promoters, the media and first of all the audiences - the punks - all portrayed in a manner that makes you laugh, shudder and gasp with astonishment about the energy, the anger and the fury these youths put into their music. Where is that today? The eighties may have sucked big time when it cames to mainstream music, but the underground was rocking. If you need a proof for that, watch Fear's performance in Decline. Unmatched. Great film! How come this is not available on vid, LD or DVD? P.S. The follow-up Decline Pt. II is hilarious, too",10,1
23864,"Crispin Glovers' way of acting (and not only his) is tremendous. You really want to believe him because his body language and performing fits the person perfect. He gives Layne this extraordinary bit of personality that makes this movie a cult. As well as Feck, which role is done very well by Dennis Hopper. It's about choosing the right or wrong side, without logical thinking about the scene. Friendship is more imported, and that's exactly what I think is what makes choices this difficult. Rivers Edge lets you experience this with serious tones and family mathers. I really enjoyed it watching. I saw it a month ago for the first time, but if you like a nice 80s feel, this is the one that you have to see. I'ts a same that I didn't know of it earlier.",9,1
21541,"What a shame that some good talent was wasted. This is a tedious and overly self-conscious movie, that could tell its story in half the time. Is that Derek Jacobi under that beard doing two roles? Gosh, who would have guessed.<br /><br />The emotional payoff a the end was weak and unsatisfying. Certainly not worth enduring the padded length of the movie for. I felt quite let down.<br /><br />The sound was dreadful. First, they used stock music. Second, it was so loud during some of the dialog, that the words were hard to make out. Only three sound crew, and a trainee? There were more people listed in the credits for either the accounting or the legal.<br /><br />Some of the camera work was quite good though, and the actors did a good job with a mediocre script.<br /><br />Not a good use of viewing time, at least for me.",4,0
379,"It opens with your cliche overly long ship flying through space. All I could think at this point was ""Spaceballs"" and hoping there'd be a sticker on back that said ""We break for Nobody."" The movie then shows some cryogenic freezers with Vin Diesel's narration. I've always thought his voice sounded cool ever since I saw Fast and the Furious. From when I found out he was as criminal, I thought the movie was going to be cliche. It was. It was very cliche and fate seemed to be against them at every turn. Black out every 22 years. Lucky them, they land on that day. Aliens can only be in the darkness, hey it's a solar eclipse. As much as I thought it was too easy and just a cliche, the movie pulled through and kicked major @ss. I even went out and bought a copy of Pitch Black after seeing it. I really can't wait for Chronicles of Riddick.",8,1
17879,"Bart The Genius Whilst not the first Simpsons episode, Bart he Genius more or less is the first typical episode. There's no gimmickry or theme it's just your typical Simpsons episode in set-up. It always seems to me that it's an episode that grows on you. There are certain elements I don't care for, largely the blotchy animation which can be forgiven. But over time I take a liking to this story of it's uniqueness.<br /><br />For example, it'd be very hard for a live-action sit-com on a standard budget to do this episode due to the various different sets that show in this episode, the computer bays in Ms. Melon's class, the opera and so on. My point is with that, The Simpsons realises one of the biggest strengths in animation. The sheer lack of visual limitations when compared to live-action.<br /><br />On a writing stand-point it's also highly intelligent and fresh. The concept is pretty unique, and particularly the problems faced. Instead of the ol' fail-safe that work was too hard, it was simply Bart's social isolation from his classmates that failed him (although the exploding science experiment may prove otherwise...which I also think is one of the best visual gags of the series.) The ending seems a little unoriginal, largely because the Bart running naked into his room to avoid Homer was already done in the shorts, but still funny for Marge and Lisa's short back-and-forth if for nothing else.<br /><br />Ultimately it's a very good episode, with lots of interesting new point in the series, though not exactly perfect.<br /><br />Oh, and the now iconic name Kwijybo was of course unleashed onto the world.",7,1
